  
       XFOIL         Version 6.99
  
 Calculated polar for: Airfoil_1                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     1.000 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
   3.150   0.1002   0.00798   0.00372   0.0509   0.6736   0.7925
   3.200   0.1017   0.00800   0.00375   0.0517   0.6724   0.7934
   3.250   0.1048   0.00802   0.00378   0.0521   0.6717   0.7942
   3.300   0.1074   0.00804   0.00381   0.0527   0.6707   0.7950
   3.350   0.1095   0.00806   0.00384   0.0533   0.6695   0.7957
   3.400   0.1114   0.00808   0.00387   0.0541   0.6682   0.7966
   3.450   0.1136   0.00809   0.00390   0.0547   0.6671   0.7974
   3.500   0.1149   0.00811   0.00392   0.0555   0.6657   0.7982
   3.550   0.1167   0.00813   0.00394   0.0563   0.6646   0.7991
   3.600   0.1189   0.00814   0.00395   0.0569   0.6635   0.7999
   3.650   0.1204   0.00816   0.00397   0.0577   0.6621   0.8007
   3.700   0.1221   0.00818   0.00398   0.0585   0.6609   0.8016
   3.750   0.1235   0.00820   0.00399   0.0594   0.6594   0.8024
   3.800   0.1252   0.00822   0.00400   0.0601   0.6583   0.8033
   3.850   0.1270   0.00823   0.00401   0.0609   0.6568   0.8040
   3.900   0.1288   0.00825   0.00401   0.0616   0.6556   0.8048
   3.950   0.1288   0.00827   0.00402   0.0628   0.6542   0.8057
   4.000   0.1256   0.00830   0.00405   0.0646   0.6531   0.8065
   4.050   0.1197   0.00834   0.00409   0.0670   0.6516   0.8074
   4.100   0.1222   0.00836   0.00412   0.0676   0.6505   0.8081
   4.150   0.1295   0.00837   0.00415   0.0671   0.6492   0.8088
   4.200   0.1365   0.00839   0.00417   0.0666   0.6479   0.8095
   4.250   0.1422   0.00840   0.00419   0.0664   0.6463   0.8103
   4.300   0.1477   0.00842   0.00422   0.0663   0.6448   0.8110
   4.350   0.1531   0.00844   0.00424   0.0662   0.6437   0.8117
   4.400   0.1576   0.00846   0.00426   0.0663   0.6421   0.8124
   4.450   0.1618   0.00848   0.00428   0.0665   0.6406   0.8131
   4.500   0.1663   0.00850   0.00430   0.0666   0.6395   0.8138
   4.550   0.1702   0.00852   0.00432   0.0669   0.6380   0.8145
   4.600   0.1740   0.00855   0.00433   0.0672   0.6362   0.8152
   4.650   0.1770   0.00857   0.00436   0.0676   0.6349   0.8160
   4.700   0.1792   0.00860   0.00440   0.0683   0.6338   0.8168
   4.750   0.1813   0.00862   0.00443   0.0689   0.6323   0.8175
   4.800   0.1836   0.00865   0.00447   0.0695   0.6311   0.8184
   4.850   0.1856   0.00868   0.00450   0.0701   0.6294   0.8192
   4.900   0.1858   0.00872   0.00454   0.0712   0.6266   0.8201
   4.950   0.1889   0.00874   0.00456   0.0716   0.6260   0.8208
   5.000   0.1900   0.00877   0.00459   0.0725   0.6242   0.8216
   5.050   0.1895   0.00882   0.00462   0.0737   0.6218   0.8225
   5.100   0.1917   0.00884   0.00464   0.0743   0.6211   0.8233
   5.150   0.1925   0.00887   0.00466   0.0752   0.6197   0.8240
   5.200   0.1921   0.00892   0.00468   0.0764   0.6174   0.8248
   5.250   0.1916   0.00895   0.00472   0.0776   0.6157   0.8255
   5.300   0.1907   0.00899   0.00475   0.0789   0.6143   0.8262
   5.350   0.1969   0.00900   0.00477   0.0787   0.6134   0.8268
   5.400   0.2038   0.00903   0.00481   0.0782   0.6114   0.8275
   5.450   0.2101   0.00905   0.00484   0.0779   0.6092   0.8282
   5.500   0.2163   0.00907   0.00487   0.0776   0.6079   0.8288
   5.550   0.2217   0.00910   0.00491   0.0774   0.6060   0.8296
   5.600   0.2266   0.00914   0.00494   0.0774   0.6043   0.8302
   5.650   0.2308   0.00918   0.00498   0.0776   0.6022   0.8310
   5.700   0.2339   0.00923   0.00502   0.0779   0.5996   0.8317
   5.750   0.2383   0.00926   0.00505   0.0781   0.5985   0.8325
   5.800   0.2421   0.00930   0.00509   0.0783   0.5967   0.8331
   5.850   0.2453   0.00934   0.00514   0.0786   0.5944   0.8338
   5.900   0.2483   0.00937   0.00519   0.0791   0.5926   0.8346
   5.950   0.2512   0.00941   0.00523   0.0795   0.5909   0.8353
   6.000   0.2536   0.00946   0.00528   0.0800   0.5891   0.8362
   6.050   0.2552   0.00951   0.00533   0.0807   0.5866   0.8370
   6.100   0.2572   0.00956   0.00538   0.0813   0.5845   0.8378
   6.150   0.2583   0.00963   0.00543   0.0821   0.5819   0.8386
   6.200   0.2605   0.00968   0.00547   0.0827   0.5803   0.8394
   6.250   0.2626   0.00972   0.00550   0.0833   0.5786   0.8402
   6.300   0.2648   0.00976   0.00555   0.0839   0.5765   0.8409
   6.350   0.2676   0.00979   0.00558   0.0844   0.5752   0.8417
   6.400   0.2699   0.00983   0.00562   0.0849   0.5736   0.8424
   6.450   0.2714   0.00987   0.00566   0.0857   0.5714   0.8431
   6.500   0.2710   0.00994   0.00571   0.0868   0.5681   0.8439
   6.550   0.2735   0.00995   0.00574   0.0874   0.5679   0.8445
   6.600   0.2750   0.01001   0.00578   0.0880   0.5654   0.8452
   6.650   0.2812   0.01006   0.00583   0.0877   0.5631   0.8459
   6.700   0.2853   0.01014   0.00589   0.0877   0.5599   0.8468
   6.750   0.2908   0.01018   0.00595   0.0876   0.5578   0.8476
   6.800   0.2961   0.01022   0.00600   0.0875   0.5560   0.8482
   6.850   0.3007   0.01027   0.00606   0.0875   0.5535   0.8489
   6.900   0.3047   0.01033   0.00612   0.0876   0.5511   0.8496
   6.950   0.3076   0.01040   0.00619   0.0880   0.5478   0.8504
   7.000   0.3109   0.01047   0.00625   0.0883   0.5455   0.8511
   7.050   0.3135   0.01054   0.00632   0.0887   0.5430   0.8519
   7.100   0.3146   0.01065   0.00641   0.0894   0.5391   0.8527
   7.150   0.3192   0.01067   0.00644   0.0894   0.5387   0.8534
   7.200   0.3220   0.01073   0.00651   0.0899   0.5353   0.8542
   7.250   0.3255   0.01077   0.00655   0.0902   0.5335   0.8549
   7.300   0.3279   0.01084   0.00662   0.0906   0.5304   0.8557
   7.350   0.3296   0.01092   0.00669   0.0913   0.5271   0.8566
   7.400   0.3319   0.01099   0.00675   0.0918   0.5251   0.8573
   7.450   0.3320   0.01109   0.00684   0.0927   0.5217   0.8583
   7.500   0.3347   0.01115   0.00689   0.0931   0.5200   0.8590
   7.550   0.3368   0.01121   0.00695   0.0937   0.5171   0.8599
   7.600   0.3382   0.01129   0.00702   0.0943   0.5138   0.8606
   7.650   0.3416   0.01132   0.00706   0.0947   0.5135   0.8613
   7.700   0.3418   0.01141   0.00714   0.0956   0.5100   0.8621
   7.750   0.3408   0.01152   0.00723   0.0967   0.5062   0.8628
   7.800   0.3393   0.01164   0.00733   0.0980   0.5028   0.8635
   7.850   0.3451   0.01170   0.00739   0.0977   0.5010   0.8643
   7.900   0.3509   0.01175   0.00744   0.0974   0.4980   0.8650
   7.950   0.3566   0.01179   0.00750   0.0972   0.4959   0.8656
   8.000   0.3600   0.01190   0.00760   0.0973   0.4908   0.8664
   8.050   0.3645   0.01197   0.00767   0.0974   0.4886   0.8671
   8.100   0.3670   0.01208   0.00777   0.0977   0.4849   0.8679
   8.150   0.3693   0.01220   0.00788   0.0981   0.4807   0.8686
   8.200   0.3730   0.01227   0.00795   0.0982   0.4768   0.8693
   8.250   0.3772   0.01233   0.00802   0.0983   0.4747   0.8699
   8.300   0.3796   0.01244   0.00812   0.0987   0.4710   0.8707
   8.350   0.3797   0.01260   0.00826   0.0995   0.4664   0.8716
   8.400   0.3835   0.01266   0.00832   0.0997   0.4656   0.8723
   8.450   0.3842   0.01279   0.00844   0.1004   0.4615   0.8732
   8.500   0.3868   0.01287   0.00852   0.1008   0.4576   0.8739
   8.550   0.3897   0.01295   0.00860   0.1012   0.4548   0.8747
   8.600   0.3912   0.01306   0.00870   0.1017   0.4509   0.8756
   8.650   0.3909   0.01322   0.00883   0.1026   0.4459   0.8765
   8.700   0.3937   0.01329   0.00890   0.1030   0.4447   0.8773
   8.750   0.3954   0.01338   0.00899   0.1036   0.4404   0.8782
   8.800   0.3973   0.01347   0.00907   0.1041   0.4366   0.8790
   8.850   0.3981   0.01359   0.00917   0.1048   0.4320   0.8798
   8.900   0.3998   0.01367   0.00925   0.1054   0.4301   0.8805
   8.950   0.4002   0.01379   0.00935   0.1062   0.4275   0.8813
   9.000   0.3983   0.01395   0.00949   0.1074   0.4232   0.8821
   9.050   0.4023   0.01406   0.00960   0.1074   0.4180   0.8829
   9.100   0.4075   0.01414   0.00968   0.1072   0.4157   0.8836
   9.150   0.4097   0.01431   0.00983   0.1075   0.4098   0.8845
   9.200   0.4115   0.01449   0.00999   0.1079   0.4049   0.8854
   9.250   0.4151   0.01460   0.01010   0.1080   0.3997   0.8861
   9.300   0.4188   0.01470   0.01020   0.1081   0.3960   0.8868
   9.350   0.4221   0.01481   0.01031   0.1082   0.3926   0.8876
   9.400   0.4230   0.01500   0.01047   0.1088   0.3874   0.8884
   9.450   0.4261   0.01511   0.01058   0.1090   0.3838   0.8891
   9.500   0.4290   0.01523   0.01068   0.1093   0.3794   0.8899
   9.550   0.4310   0.01536   0.01081   0.1097   0.3751   0.8908
   9.600   0.4294   0.01561   0.01103   0.1107   0.3686   0.8918
   9.650   0.4317   0.01573   0.01114   0.1110   0.3660   0.8925
   9.700   0.4333   0.01586   0.01126   0.1115   0.3604   0.8934
   9.750   0.4358   0.01597   0.01136   0.1119   0.3574   0.8942
   9.800   0.4376   0.01609   0.01148   0.1123   0.3540   0.8951
   9.850   0.4370   0.01629   0.01165   0.1132   0.3486   0.8961
   9.900   0.4395   0.01638   0.01174   0.1136   0.3459   0.8969
   9.950   0.4414   0.01649   0.01183   0.1140   0.3422   0.8977
  10.000   0.4408   0.01667   0.01198   0.1149   0.3353   0.8986
